mode: atomic
HealthHub360/main.go:23.13,25.2 1 1
HealthHub360/main.go:27.12,39.23 3 2
HealthHub360/main.go:39.23,40.14 1 1
HealthHub360/main.go:40.14,42.5 1 1
HealthHub360/main.go:43.4,44.30 2 0
HealthHub360/main.go:47.44,48.14 1 1
HealthHub360/main.go:48.14,50.5 1 1
HealthHub360/main.go:51.4,52.20 2 0
HealthHub360/main.go:56.28,57.14 1 1
HealthHub360/main.go:57.14,59.5 1 1
HealthHub360/main.go:60.4,63.51 4 0
HealthHub360/main.go:67.2,68.22 2 2
HealthHub360/controllers/appointment.go:12.33,14.2 2 0
HealthHub360/controllers/appointment.go:14.2,20.3 5 0
HealthHub360/controllers/appointment.go:27.40,31.42 4 0
HealthHub360/controllers/appointment.go:31.42,34.3 2 0
HealthHub360/controllers/appointment.go:35.2,36.16 2 0
HealthHub360/controllers/appointment.go:36.16,39.3 2 0
HealthHub360/controllers/appointment.go:40.2,40.45 1 0
HealthHub360/controllers/appointment.go:48.40,51.42 3 0
HealthHub360/controllers/appointment.go:51.42,54.3 2 0
HealthHub360/controllers/appointment.go:55.2,56.16 2 0
HealthHub360/controllers/appointment.go:56.16,59.3 2 0
HealthHub360/controllers/appointment.go:60.2,60.44 1 0
HealthHub360/controllers/appointment.go:67.45,70.16 3 0
HealthHub360/controllers/appointment.go:70.16,73.3 2 0
HealthHub360/controllers/appointment.go:74.2,74.48 1 0
HealthHub360/controllers/appointment.go:80.43,82.16 2 0
HealthHub360/controllers/appointment.go:82.16,85.3 2 0
HealthHub360/controllers/appointment.go:86.2,86.49 1 0
HealthHub360/controllers/appointment.go:93.46,96.16 3 0
HealthHub360/controllers/appointment.go:96.16,99.3 2 0
HealthHub360/controllers/appointment.go:100.2,100.41 1 0
HealthHub360/controllers/auth.go:14.31,19.2 3 0
HealthHub360/controllers/auth.go:25.28,27.42 2 0
HealthHub360/controllers/auth.go:27.42,30.3 2 0
HealthHub360/controllers/auth.go:31.2,32.16 2 0
HealthHub360/controllers/auth.go:32.16,35.3 2 0
HealthHub360/controllers/auth.go:36.2,36.50 1 0
HealthHub360/controllers/auth.go:43.36,46.42 2 0
HealthHub360/controllers/auth.go:46.42,49.3 2 0
HealthHub360/controllers/auth.go:51.2,52.16 2 0
HealthHub360/controllers/auth.go:52.16,56.3 3 0
HealthHub360/controllers/auth.go:58.2,58.50 1 0
HealthHub360/controllers/auth.go:65.37,69.41 2 0
HealthHub360/controllers/auth.go:69.41,72.3 2 0
HealthHub360/controllers/auth.go:74.2,75.16 2 0
HealthHub360/controllers/auth.go:75.16,78.3 2 0
HealthHub360/controllers/auth.go:80.2,80.50 1 0
HealthHub360/controllers/bill.go:13.31,19.2 5 0
HealthHub360/controllers/bill.go:20.33,23.16 3 0
HealthHub360/controllers/bill.go:23.16,26.3 2 0
HealthHub360/controllers/bill.go:27.2,27.40 1 0
HealthHub360/controllers/bill.go:29.38,32.16 3 0
HealthHub360/controllers/bill.go:32.16,35.3 2 0
HealthHub360/controllers/bill.go:36.2,36.43 1 0
HealthHub360/controllers/bill.go:43.44,46.16 3 0
HealthHub360/controllers/bill.go:46.16,49.3 2 0
HealthHub360/controllers/bill.go:50.2,51.45 2 0
HealthHub360/controllers/bill.go:54.39,57.16 3 0
HealthHub360/controllers/bill.go:57.16,60.3 2 0
HealthHub360/controllers/bill.go:61.2,61.41 1 0
HealthHub360/controllers/consent.go:12.34,18.2 5 0
HealthHub360/controllers/consent.go:20.36,22.17 2 0
HealthHub360/controllers/consent.go:22.17,23.43 1 0
HealthHub360/controllers/consent.go:23.43,26.4 2 0
HealthHub360/controllers/consent.go:28.2,30.16 3 0
HealthHub360/controllers/consent.go:30.16,33.3 2 0
HealthHub360/controllers/consent.go:34.2,34.45 1 0
HealthHub360/controllers/consent.go:38.41,41.16 3 0
HealthHub360/controllers/consent.go:41.16,44.3 2 0
HealthHub360/controllers/consent.go:45.2,45.45 1 0
HealthHub360/controllers/consent.go:48.39,50.16 2 0
HealthHub360/controllers/consent.go:50.16,53.3 2 0
HealthHub360/controllers/consent.go:54.2,54.56 1 0
HealthHub360/controllers/consent.go:56.36,59.16 3 0
HealthHub360/controllers/consent.go:59.16,63.3 2 0
HealthHub360/controllers/consent.go:64.2,64.40 1 0
HealthHub360/controllers/doctor.go:12.33,19.2 6 0
HealthHub360/controllers/doctor.go:25.35,27.42 2 0
HealthHub360/controllers/doctor.go:27.42,30.3 2 0
HealthHub360/controllers/doctor.go:31.2,32.16 2 0
HealthHub360/controllers/doctor.go:32.16,35.3 2 0
HealthHub360/controllers/doctor.go:36.2,36.45 1 0
HealthHub360/controllers/doctor.go:44.35,47.42 3 0
HealthHub360/controllers/doctor.go:47.42,50.3 2 0
HealthHub360/controllers/doctor.go:51.2,52.16 2 0
HealthHub360/controllers/doctor.go:52.16,55.3 2 0
HealthHub360/controllers/doctor.go:56.2,56.40 1 0
HealthHub360/controllers/doctor.go:63.40,66.16 3 0
HealthHub360/controllers/doctor.go:66.16,69.3 2 0
HealthHub360/controllers/doctor.go:70.2,70.41 1 0
HealthHub360/controllers/doctor.go:77.38,79.16 2 0
HealthHub360/controllers/doctor.go:79.16,82.3 2 0
HealthHub360/controllers/doctor.go:83.2,83.43 1 0
HealthHub360/controllers/doctor.go:90.35,93.16 3 0
HealthHub360/controllers/doctor.go:93.16,96.3 2 0
HealthHub360/controllers/doctor.go:97.2,97.41 1 0
HealthHub360/controllers/generate.go:9.33,12.2 2 0
HealthHub360/controllers/generate.go:13.37,17.16 3 0
HealthHub360/controllers/generate.go:17.16,20.3 2 0
HealthHub360/controllers/generate.go:21.2,24.4 1 0
HealthHub360/controllers/guardian.go:14.35,16.2 2 0
HealthHub360/controllers/guardian.go:16.2,21.3 4 0
HealthHub360/controllers/guardian.go:24.43,27.42 3 0
HealthHub360/controllers/guardian.go:27.42,30.3 2 0
HealthHub360/controllers/guardian.go:31.2,32.16 2 0
HealthHub360/controllers/guardian.go:32.16,35.3 2 0
HealthHub360/controllers/guardian.go:36.2,36.50 1 0
HealthHub360/controllers/guardian.go:38.42,41.16 3 0
HealthHub360/controllers/guardian.go:41.16,44.3 2 0
HealthHub360/controllers/guardian.go:45.2,45.55 1 0
HealthHub360/controllers/guardian.go:48.40,50.16 2 0
HealthHub360/controllers/guardian.go:50.16,53.3 2 0
HealthHub360/controllers/guardian.go:54.2,54.56 1 0
HealthHub360/controllers/guardian.go:57.37,60.16 3 0
HealthHub360/controllers/guardian.go:60.16,63.3 2 0
HealthHub360/controllers/guardian.go:64.2,64.50 1 0
HealthHub360/controllers/hospital.go:12.35,14.2 2 0
HealthHub360/controllers/hospital.go:14.2,20.3 5 0
HealthHub360/controllers/hospital.go:22.37,24.42 2 0
HealthHub360/controllers/hospital.go:24.42,27.3 2 0
HealthHub360/controllers/hospital.go:28.2,28.57 1 0
HealthHub360/controllers/hospital.go:28.57,31.3 2 0
HealthHub360/controllers/hospital.go:32.2,32.59 1 0
HealthHub360/controllers/hospital.go:34.37,37.42 3 0
HealthHub360/controllers/hospital.go:37.42,40.3 2 0
HealthHub360/controllers/hospital.go:41.2,41.69 1 0
HealthHub360/controllers/hospital.go:41.69,44.3 2 0
HealthHub360/controllers/hospital.go:45.2,45.59 1 0
HealthHub360/controllers/hospital.go:47.42,50.16 3 0
HealthHub360/controllers/hospital.go:50.16,53.3 2 0
HealthHub360/controllers/hospital.go:54.2,54.40 1 0
HealthHub360/controllers/hospital.go:56.39,58.16 2 0
HealthHub360/controllers/hospital.go:58.16,61.3 2 0
HealthHub360/controllers/hospital.go:62.2,62.40 1 0
HealthHub360/controllers/hospital.go:64.43,67.16 3 0
HealthHub360/controllers/hospital.go:67.16,70.3 2 0
HealthHub360/controllers/hospital.go:71.2,71.40 1 0
HealthHub360/controllers/medicalRecord.go:12.35,14.2 2 0
HealthHub360/controllers/medicalRecord.go:14.2,19.3 4 0
HealthHub360/controllers/medicalRecord.go:22.47,25.16 3 0
HealthHub360/controllers/medicalRecord.go:25.16,28.3 2 0
HealthHub360/controllers/medicalRecord.go:29.2,29.50 1 0
HealthHub360/controllers/medicalRecord.go:31.45,33.16 2 0
HealthHub360/controllers/medicalRecord.go:33.16,36.3 2 0
HealthHub360/controllers/medicalRecord.go:37.2,37.50 1 0
HealthHub360/controllers/medicalRecord.go:40.42,44.16 4 0
